DIGITAL GUJRAT/E-GOVERNANCE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Online Marriage Certificate Service,Apply marriage certificate online,Online,"Convenient, transparent","Aadhaar Card, Marriage Proof"
Online Birth & Death Certificate Portal,Registration and download,Online,Immediate access,"Aadhaar Card, Hospital Records"
Gujarat e-Gazette,Access gazette notifications online,Online,"Transparency, access to laws","Aadhaar Card, Email ID"
Digital Grievance Redressal Portal,File complaints online,Online,Faster grievance handling,"Aadhaar Card, Complaint Proof"
Online Disability Certificate Service,Apply for disability ID card online,Online,Easy access to benefits,"Aadhaar Card, Disability Proof"
Gujarat Skill Development Digital Portal,Skill training registration online,Online,Employment-oriented training,"Aadhaar Card, Educational Proof"
Online Passport Seva Integration,Apply passport from Digital Gujarat,Online,Convenient services,"Aadhaar Card, Address Proof"
Online Police Verification Services,Verification made digital,Online,Faster approvals,"Aadhaar Card, Application ID"
Digital Gujarat Farmer Portal,e-services for farmers,Online,"Subsidies, crop insurance, updates","Aadhaar Card, Land Ownership Proof"
E-Mitra Seva (Pilot in some districts),Assistive citizen service centers,Offline/Hybrid,Access to govt services,"Aadhaar Card, Application Form"
Digital Pension Disbursement System,Pension directly credited,Online,"Transparency, no middlemen","Aadhaar Card, Bank Account"
Digital Electricity Bill Services,Pay electricity bills online,Online,Convenience,"Aadhaar Card, Service Number"
Online Labour Registration Portal,Register construction workers,Online,Eligibility for labour welfare,"Aadhaar Card, Labour Proof"
Gujarat e-Transport Portal,Transport services online,Online,"Permit, license, registration","Aadhaar Card, Vehicle Details"
Digital MSME Facilitation Portal,Support for MSMEs via e-governance,Online,"Incentives, faster approvals","Aadhaar Card, Business Registration"
Online Employment Exchange Portal,Register for jobs,Online,Employment opportunities,"Aadhaar Card, Educational Proof"
Digital Cooperative Society Portal,Online society registration & management,Online,"Transparency, easy management","Aadhaar Card, Society Documents"
Digital Urban Local Body Services,Municipal services online,Online,"Water, tax, building permits","Aadhaar Card, Residence Proof"
e-Hospital Services,"Appointment, reports online",Online,Easy healthcare access,"Aadhaar Card, Hospital ID"
Digital Education Loan Portal,Apply loan digitally,Online,Faster approval,"Aadhaar Card, Admission Proof"
Digital StartUp Gujarat Portal,Support for startups online,Online,"Mentorship, funding, approvals","Aadhaar Card, Business Plan"
e-Auction Portal,Participate in govt auctions online,Online,"Transparency, fairness","Aadhaar Card, Bidder ID"
Digital Police FIR Registration,File FIR online,Online,"Quick, transparent","Aadhaar Card, Complaint Details"
e-Waste Management Portal,Digital waste tracking & disposal,Online,Clean environment,"Aadhaar Card, Business Registration"
Digital Water Supply Services,"Pay bills, request new connections",Online,Convenience,"Aadhaar Card, Consumer Number"
Online Cooperative Loan Portal,Digital cooperative bank services,Online,Transparency,"Aadhaar Card, Loan Documents"
Digital Pensioner Life Certificate,Submit Jeevan Pramaan online,Online,Convenience for pensioners,"Aadhaar Card, Pension ID"
Digital Road Tax Payment Service,Pay road tax online,Online,Easy access,"Aadhaar Card, Vehicle Details"
Digital Gujarat Mobile App,Access services via mobile,Online,"Convenience, portability","Aadhaar Card, Mobile Number"
