SKILL DEVELOPMENT & EMPLOYEMENT,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
State Youth Employability Program (Gujarat),"Employability coaching, aptitude, soft skills and placement drives",online/offline,"Soft-skill training, interview rounds, placement facilitation","Aadhaar Card, Educational Proof, Resume"
Industrial Bridge Courses (State-Industry Partnership),Short bridge courses to make diploma/ITI students industry-ready,Hybrid,"Industry certification, placement guarantee (where partnered)","Aadhaar Card, Educational Proof, Institute/Industry Letter"
Sectoral Internship Programmes (State),"Internships arranged in sectors like manufacturing, IT, healthcare",Hybrid,"Stipend, internship certificate, potential job offers","Aadhaar Card, College/Institution ID, Resume"
Placement Linked Training for Graduates (State Initiative),Programs for fresh graduates to gain placement-ready skills,Online/Hybrid,"Domain training, interview prepping, placement drives","Aadhaar Card, Degree Certificate, Resume"
Urban Employment Skill Cells (State Municipal Partnerships),City-level skill cells connecting urban youth to training & jobs,Hybrid,"Training, placement fairs, employer matchmaking","Aadhaar Card, Domicile/Residence Proof, Educational Proof"
Skill Development for Persons with Disabilities (State Program),Accessible skilling and special support for PWD beneficiaries,Offline/Hybrid,"Accessible training, stipend, job counselor support","Aadhaar Card, Disability Certificate, Income Proof"
Kaushalya - School to Work Transition Program,Programs connecting higher-secondary students to skilling & apprenticeships,Offline/Hybrid,"Vocational courses, school-industry internships, certification","Aadhaar Card, School ID, Parent Consent (if minor)"
Gujarat On-the-Job Training (OJT) Incentive Scheme,Supports employers to hire trainees for on-site OJT with partial wage support,Hybrid,"Wage support, training certification, retention bonus","Aadhaar Card, Employer Letter, Educational Proof"
Skill Loans & Financial Assistance for Trainees (State Facilitation),Facilitated loans/soft finance for beneficiaries to join fee-based courses,Online,"Loan facilitation, subsidized interest, repayment support","Aadhaar Card, Bank Account, Income Proof"
Kaushalya - Women in Tech Program,Focused tech skilling tracks for women beneficiaries,Hybrid,"Tech training, internships, placement assistance","Aadhaar Card, Gender Proof, Educational Proof"
Gujarat Hospitality & Tourism Skill Program (State),Training for hospitality & tourism workforce in Gujarat,Hybrid,"Certification, placement with hotels/tour operators","Aadhaar Card, Educational Proof, Domicile Certificate"
Agritech & Farm-Skill Training (State Initiative),"Skill modules for agro-processing, farm machinery operation and entrepreneurship",Offline/Hybrid,"Training, certification, linkages to agri-businesses","Aadhaar Card, Land/Employment Proof, Domicile Certificate"
Digital Literacy & Entry-Level IT Skills (State Program),Basic digital skills and entry IT courses for employability,Online/Hybrid,"IT literacy certificates, job support, internships","Aadhaar Card, Educational Proof, Mobile Number"
Gujarat Youth Startup & Entrepreneurship Support (State),Training + incubation support aimed at youth entrepreneurs,Hybrid,"Entrepreneurship training, incubation, seed linkages","Aadhaar Card, Business Plan, Bank Account"
Factory Floor Operator Skill Drive (State),Large-scale factory operator training drives for industrial employers,Offline,"Job placement in manufacturing, certification","Aadhaar Card, Educational Proof, Employer Letter"
Green Jobs & Renewable Energy Skill Programs (State),"Skilling in solar, wind, EV and green tech job roles",Offline/Hybrid,"Technical certification, green sector placements","Aadhaar Card, Educational Proof, Domicile Certificate"
Construction & Infrastructure Skills Initiative (State),"Skilling masons, electricians, plumbers with industry-recognized certificates",Offline,"Skill certificates, placement in construction projects","Aadhaar Card, Educational Proof, Employer/Contractor Letter"
Gujarat Nursing & Allied Health Skill Scheme (State),Short-term allied health courses connected to hospitals for placements,Hybrid,"Health care certificates, internships, job referrals","Aadhaar Card, Educational/Health Certificates, Domicile Proof"
State Rural Self Employment Training (RSET) Programs,Skills + entrepreneurship training for rural self-employment,Hybrid,"Business planning, micro-credit linkages, certification","Aadhaar Card, Domicile Certificate, Income Proof"
IT/ITES Sector Skill Pipeline (State Initiative),Gujarat-specific skilling pipelines for IT & ITES employers,Hybrid,"Domain training, internships, placement drives","Aadhaar Card, Degree/Diploma Proof, Resume"
Transport & Automotive Sector Skill Scheme (State),Training for automotive technicians and vehicle service roles,Offline/Hybrid,"Industrial certification, on-the-job placements","Aadhaar Card, Educational Proof, Employer Letter"
Textiles & Apparel Skill Mission (State Program),"Skilling for apparel production, design and quality control in textile clusters",Offline/Hybrid,"Job placements in textile units, certification","Aadhaar Card, Domicile Certificate, Educational Proof"
Retail & Retail Management Skill Drive (State),"Training for retail sales, merchandising and store management",Offline,"Placement assistance with retail chains, certificates","Aadhaar Card, Educational Proof, Resume"
Food Processing Skill Development (State),"Training for food processing units, packaging, quality control",Offline/Hybrid,"Placement with food units, certification, entrepreneurship support","Aadhaar Card, MSME/Employer Letter, Educational Proof"
State Support for Placement Agencies & Job Fairs (Gujarat),Organising job fairs and registering placement agencies for Gujarat youth,Offline/Hybrid,"Access to job fairs, pre-screening, interview facilitation","Aadhaar Card, Resume, Educational Proof"
Certification Support for Employability (State Subsidy),Subsidy/assistance to get trainees certified under NSQF/industry certifications,Online/Hybrid,"Subsidised certification fees, recognized certificates","Aadhaar Card, Course Completion Proof, Educational Proof"
Gujarat Youth Returnee Re-skilling Program,Re-skilling program for returnee migrants/seasonal workers to get local jobs,Offline/Hybrid,"Training, placement support, entrepreneurship options","Aadhaar Card, Returnee Proof, Domicile Certificate"
State Partnership with NSTI & National Institutes (Gujarat tie-ups),State-run tie-ups to provide advanced craftsman and vocational training,Offline,"Advanced craftsman certification, apprenticeships","Aadhaar Card, Educational Proof, Institute Admission Proof"
Gujarat Sectoral Micro-credential Push (State Pilot),Micro-credentials for short specific job tasks to boost quick hires,Online/Hybrid,"Micro-credentials, employer badges, quick placement","Aadhaar Card, Educational Proof, Course Completion Proof"
Gujarat Placement Retention Support (Employer Bonus),Incentives to employers for retaining newly trained hired youth for X months,Hybrid,"Retention bonuses to employers, better job security for beneficiaries","Aadhaar Card, Employee Offer Letter, Employer Registration"
State-Run Mobile Skill Vans (Outreach),Mobile vans delivering short training and enrolment outreach in remote areas,Offline,"On-spot training, enrolment, counseling, certification","Aadhaar Card, Domicile Certificate, Educational Proof"
Gujarat Skill Mission - Career Counselling & Job Matching (State Service),"Career counselling, aptitude testing and job matching for trainees",Online/Offline,"Career guidance, profile building, placement referrals","Aadhaar Card, Educational Proof, Resume"
State Sponsored Micro-entrepreneur Skill Package,Training + seed support package for micro-entrepreneurs in trades,Hybrid,"Business start-up training, micro-grants/loans linkages","Aadhaar Card, Business Plan, Bank Account"
