ENVIRONMENT & RENEWABLE ENERGY,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Industrial Energy Efficiency (State Support),Financial & technical support for industrial EE measures,Hybrid,"Energy audit subsidies, equipment upgradation incentives","Factory Registration, Energy Audit Report, Aadhaar"
State Energy Audit & Certification Subsidy,Subsidy/support for energy audit of industries and institutions,Online/Hybrid,"Lower cost audits, follow-up EE grants","Factory/Building Proof, Aadhaar, Bank Account"
Green Industrial Grants for Pollution Reduction,Funds for industries to adopt cleaner tech & waste reuse,Hybrid,"Capital subsidies, technical advisory, emissions cut","Factory Registration, Pollution Control Clearance, Project Report"
State Program for Waste-to-Energy Plants,Support for municipal solid waste to energy projects,Hybrid,"Land & infra support, PPP facilitation, waste disposal solution","Municipal Approval, Project Proposal, Environmental Clearance"
Municipal Solid Waste Management (MSW) Assistance,"Support to ULBs for door-to-door collection, segregation & processing",Hybrid,"Equipment grants, capacity building, composting units","Municipal Resolution, Aadhaar (officials), Project Plan"
State Composting & Organic Waste Program,Promotion of decentralized composting units & training,Hybrid,"Compost units, training, subsidy on equipment","ULB/Community Association Docs, Aadhaar"
Plastic Waste Management & Recycling Support,"State rollout of plastic waste rules, recycling infrastructure",Hybrid,"EPR facilitation, recycling unit grants, segregation support","ULB Registration, EPR Docs, Business Registration"
Extended Producer Responsibility (EPR) Implementation Support,Support to enforce EPR for plastic & e-waste producers,Online/Hybrid,"EPR registration facilitation, monitored targets","Company Registration, EPR Plan, Bank Account"
E-Waste Collection & Recycling Centres (State Scheme),Setting up of collection points and authorised recycler network,Hybrid,"Collection centres, recycler registration, awareness drives","Shop/Unit Registration, Aadhaar, EPR Documents"
State E-Waste Awareness & Takeback Programme,Public awareness + takeback drives for electronic waste,Offline,"Collection drives, safe disposal channels, citizen incentives","Event Permits, Aadhaar (volunteers), E-Waste Receipts"
Industrial Effluent Reuse & Zero-Liquid Discharge Incentive,Support for ZLD/effluent reuse technologies in industry,Hybrid,"Subsidy/soft loan for reuse systems, pollution reduction","Factory Registration, Pollution Clearance, Project Report"
River & Urban Waterbody Clean-up Grants,"Funds for cleaning, de-siltation and restoration of urban waterbodies",Offline,"Improved water quality, biodiversity restoration, public parks","Municipal Approval, Project Plan, Aadhaar"
Rainwater Harvesting Promotion (Urban & Rural),Financial & technical support for RWH systems in buildings,Offline/Hybrid,"Reduced water stress, recharge benefits","Building Ownership Proof, Layout Plan, Aadhaar"
Watershed Management & Soil Conservation Programs,State programs for watershed treatment & livelihood support,Offline,"Soil conservation, livelihood benefits, recharge structures","Land Records, Village Approval, Aadhaar"
Mangrove Conservation & MISHTI Scheme Implementation,Coastal mangrove afforestation & community livelihood support,Offline,"Afforestation grants, coastal protection, fisheries support","Village Consent, Coastal Land Records, Aadhaar"
Coastal Dune Stabilization & Shoreline Protection,Projects to prevent erosion & protect coastline infrastructure,Offline,"Dune restoration, coastal safety, livelihood protection","Municipal/Coastal Authority Approval, Project Report"
Wetland Conservation & Ramsar Site Support,Protection and restoration of wetlands and Ramsar sites,Offline,"Habitat protection, biodiversity conservation, eco-tourism permits","Land/Authority Documents, Aadhaar (implementing body)"
Urban Green Cover & Tree Plantation Drive,City-level afforestation & park development program,Offline,"Shade, pollution reduction, public green spaces","ULB Approval, Land/Tree Site Info, Aadhaar (implementers)"
Green Belt Development Along Highways & Industry Corridors,Planting belts to reduce pollution & noise along corridors,Offline,"Improved air quality, visual screening, habitat links","Road Authority Approval, Land Documents, Aadhaar"
Green Skill Training (Environment Jobs),"Training for jobs in recycling, solar installation, EE audits",Offline/Hybrid,"Skill certificates, job placement, stipend training","Aadhaar, Educational Proof, Domicile/Residence Proof"
Green Jobs Placement & Micro-entrepreneur Support,"Placement and support for green micro-enterprises (recycling, bio-manure)",Hybrid,"Seed grants, placement assistance, market linkages","Aadhaar, Business Plan, Bank Account"
State EV Charging Infrastructure Incentive,Incentives & facilitation for public & private EV chargers,Online/Hybrid,"Subsidy/incentive for chargers, PPP models, fast approvals","Company/ULB Docs, Site Proof, Aadhaar"
Gujarat EV Buyer Incentive (State additions),Top-up subsidies/incentives for buyer categories (2W/3W/4W),Hybrid,"Buyer subsidies, tax/incentive benefits","Aadhaar, Vehicle Registration, Bank Account"
Electric Bus & Public Transport Electrification Support,Conversion and procurement support for e-buses/public fleets,Hybrid,"CapEx support, charging infra, low-emission transit","Transport Dept Approval, Fleet Docs, Aadhaar"
Battery Swapping & Storage Pilot Incentives,Pilot support for battery swapping stations and BESS units,Hybrid,"Incentives for swapping stations, BESS pilots, grid support","Project Proposal, Site Documents, Company Registration"
Solarization of Government & Community Waterworks,Solar pumps & panels for community water supply systems,Offline,"Lower power costs, reliable pumping, subsidy support","WRD/Municipal Approval, Site Docs, Aadhaar"
Solar Water Heating Support (Hotels/Institutions),Subsidy/technical support for solar water heating in institutions,Hybrid,"Lower energy cost, reduced LPG/electric heating receipts","Institution Approval, Building Docs, Aadhaar (responsible person)"
Small Hydro & Canal-top Solar Pilot Projects,Canal-top solar & small hydro pilots on irrigation infrastructure,Hybrid,"Additional RE capacity, irrigation-energy synergies","Irrigation Dept Approval, Project Report, Land/Canal Docs"
Green Building Incentives (Gujarat-specific),Incentives for GRIHA/IGBC certified buildings to reduce built-form emissions,Hybrid,"Tax/fee concessions, recognition, reduced energy bills","Building Plan, Certification Docs, Aadhaar (owner)"
Industrial Cleaner Production & Resource Efficiency Grants,"Support for cleaner production, material efficiency & circular measures",Hybrid,"CapEx grants, technical advisory, waste reduction plans","Factory Registration, Project Proposal, Aadhaar"
Pollution Control Compliance & Incentive Program,"Support to SMEs to meet GPCB norms (pre-treatment, stacks)",Hybrid,"Subsidies for control equipment, technical help","Pollution Clearance Board Docs, Project Report, Aadhaar"
Green Finance Facilitation (State Solar Loan Facilitation),Help beneficiaries access green loans/subsidies for renewable installations,Online,"Loan facilitation, lower interest, repayment support","ID Proof, Bank KYC, Project Estimate"
Carbon Sequestration & Agroforestry Incentive,Payments/credits for farmers planting trees and agroforestry practices,Offline,"Carbon payments, diversified income, soil benefits","Land Records, Aadhaar, Farm Plan"
Floodplain Restoration & Natural Infrastructure Projects,Projects restoring floodplains to reduce flood risk & improve ecosystems,Offline,"Flood risk reduction, improved sediments & habitats","Municipal/State Approval, Land Documents, Project Plan"
Industrial Wastewater Recycling Incentive,Support to set up treated wastewater reuse systems in industries,Hybrid,"Subsidy for recycling units, reduced freshwater withdrawal","Factory Registration, Project Report, Aadhaar"
State Mobile Environmental Labs & Monitoring Vans,Mobile labs for pollution / water / air testing outreach,Offline,"Localized monitoring, faster action, community reports","State Dept Order, Vehicle Docs, Lab Accreditation"
Green Entrepreneurship Incubator (Environment Tech),"Incubation support for startups in recycling, renewables and cleantech",Hybrid,"Seed grants, mentorship, pilot funding","Company/Startup Registration, Aadhaar, Pitch/Business Plan"
