INDUSTRY & MSME,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Mukhyamantri Udyog Setu Scheme,One-stop support for MSME entrepreneurs,Online,"Advisory, Skill Development, Subsidy","Aadhaar Card, Business Registration"
Gujarat Industrial Energy Efficiency Program,Promotes sustainable and efficient energy use,Online,"Training, Subsidy, Advisory","Aadhaar Card, Business Registration"
Gujarat MSME Cluster Export Promotion Scheme,Helps MSME clusters promote exports,Hybrid,"Export Facilitation, Training, Marketing","Aadhaar Card, MSME Registration"
Chief Minister’s Industrial Training Grant Scheme,Provides grants for industrial skill training,Hybrid,"Workshops, Certification","Aadhaar Card, Education Proof"
Gujarat MSME Technology Adoption Scheme,Supports adoption of modern technologies in MSMEs,Hybrid,"Training, Machinery Subsidy","Aadhaar Card, Business Registration"
Mukhyamantri Start-Up Advisory Scheme,Provides advisory support to new startups,Online,"Consultation, Mentorship","Aadhaar Card, Business Plan"
Gujarat Industrial Waste Management Scheme,Supports proper waste disposal and environmental compliance,Hybrid,"Waste Disposal, Environmental Compliance","Aadhaar Card, Business Registration"
Gujarat MSME Quality Certification Scheme,Supports quality certification for MSME products,Online,ISO/BIS Certification Assistance,"Aadhaar Card, Business Registration"
Chief Minister’s MSME Skill Development Scheme,Provides skill training for MSMEs,Hybrid,"Skill Training, Workshops","Aadhaar Card, Education Proof"
Gujarat MSME Cluster Financing Scheme,Provides financial support to MSME clusters,Hybrid,"Financial Aid, Advisory","Aadhaar Card, MSME Registration"
Mukhyamantri Industrial Infrastructure Promotion Scheme,Supports industrial infrastructure development,Hybrid,"Infrastructure Development, Subsidy","Aadhaar Card, Land/Business Proof"
Gujarat MSME Innovation & R&D Scheme,Supports research and innovation for MSMEs,Online,"Research Funding, Advisory","Aadhaar Card, Business Plan"
Gujarat Rural Industry Cluster Development Scheme,Promotes cluster development in rural areas,Hybrid,"Cluster Development, Training, Subsidy","Aadhaar Card, MSME Registration"
Chief Minister’s Small Enterprise Promotion Scheme,Supports small enterprises with financial and marketing assistance,Hybrid,"Loan Assistance, Marketing Support","Aadhaar Card, Business Registration, Bank Account"
Mukhyamantri Industrial Export Promotion Scheme,Supports industrial export promotion,Hybrid,"Export Subsidy, Training, Advisory","Aadhaar Card, GST Number, MSME Registration"
Gujarat MSME Innovation Grant Scheme,Encourages research and development in MSMEs,Hybrid,"Research & Development Funding, Mentorship","Aadhaar Card, Business Plan"
Gujarat MSME Entrepreneurship Awareness Scheme,Promotes entrepreneurship awareness among MSMEs,Online,"Seminars, Workshops, Mentorship","Aadhaar Card, Education Proof"
