HEALTH AND WELLNESS SCHEMES,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Reserve/SC Scholarship,"Scholarships for SC children (study support, uniforms, coaching)",Hybrid,"Merit scholarships, coaching aid, uniform grants","Caste, income proof, school records"
Kasturba Gandhi Balika Vidhyalaya,Residential schooling for girls from disadvantaged backgrounds,Offline,"Free boarding, academics, care in Gujarat","Girlchild from target block, caste proof, school enrollment"
Mid-Day Meal (PM POSHAN),Cooked meals for Classes 1–8,Offline,	450/700 Kcal meals daily + micronutrients,School enrolment data via DBT-based systems
Mission Indradhanush,Intensified immunisation for children,Offline,Vaccines for up to 12 diseases,"Immunisation card, basic ID"
PM CARES for Children,Health cover + scholarship for orphans bereaved by COVID,Hybrid,₹5 L health insurance + ₹20k scholarship annually for Class 1–12,"Orphan status documentation, child’s Aadhaar"
Right to Education Amendments,"Revised age criteria, special needs inclusivity",Offline,School admission flexibility for SEN + standard pathway,"Age proof, disability certificate (if applicable)"
Adolescent Friendly Health Services (ARSH Clinics),"Confidential reproductive, nutritional, mental health counseling and checkups for age 13–20",Offline,"	ARSH counseling, screening, referrals at PHC/HWC","ARSH card, Aadhaar / age proof"
Sabla / Kishori Shakti Yojana,"Nutrition, IFA, health education, hygiene training, life and vocational skills for girls aged 11–18",Offline,"IFA tablets, health check-up, counseling, vocational training post‑16",Aadhaar/age proof via Anganwadi records
Menstrual Hygiene Programme,Free sanitary pads + menstrual hygiene awareness for adolescent girls,Offline,"Provision of pads, awareness sessions via Anganwadis",Registration at Anganwadi / school
WIFS (Weekly IFA Supplementation),Anemia prevention program for students and adolescents,Offline,"Weekly IFA doses, anemia screening, nutrition education",School / Anganwadi health card
School Health Programme (Ayushman Bharat),"Health promotion, screening, life‑skills and yoga via school-based ambassadors",Hybrid,"Weekly health sessions, screenings (vision, anemia, hygiene, etc.), yoga & wellness awareness",School admission ID
Health & Wellness Centres (HWCs),Comprehensive primary care including adolescent services at PHC/sub‑centre,Offline,"Adolescent health check-ups, family planning guidance, tele‑consultation, mental health support",Aadhaar / local proof
Mamta Taruni Abhiyan,"Community‑level health camps (“Mamta Diwas”) promoting hygiene, nutrition and ARSH for school‑going girls",Offline,"Health education, menstrual hygiene promotion, IFA distribution","ARSH Card, school / Anganwadi record"
Anemia Control Programme – Gujarat NHM,State effort to control adolescent anemia via IFA and counselling,Offline,"Screening camps, IFA pills, nutrition education via PHCs/HWCs",School / health centre records
PM‑JAY / Mukhyamantri Amrutum Yojana,Cashless health insurance covering youth (age ≤20) under family plans,Hybrid,"Secondary/tertiary care, hospitalization up to ₹5 lakh, emergency and surgical coverage","PM‑JAY or MA card, Aadhaar, income proof"
108 Ambulance & E‑Mamta Tracking,Emergency medical transport and mother‑child tracking inclusive of adolescents,Offline,"Rapid ambulance service, tracking adolescent health and immunization status","Mobile number, Aadhaar or family registration"
Rashtriya Bal Swasthya Karyakram (RBSK),"Screening for defects, diseases, deficiencies and delays up to age 18",Offline,"Mobile team screening (vision, hearing, anemia, heart defects), free referral & treatment",School / Anganwadi / community identification
Khel Mahakumbh (Youth Fitness/Sports),"State-wide sporting event promoting youth health and fitness, open to under‑17 or older",Offline,"Competitions, talent recognition, coaching, wellness camps","Age proof, school or registration ID"
Yoga Promotion Initiative (GSYB),Mass‑yoga campaign targeting stress prevention and mental‑physical wellness among youth,Hybrid,"Yoga camps, structured training, dialogue sessions in villages & schools",Community or school enrolment confirmation
School Sanitation & Hygiene Drives,Infrastructure + health awareness in schools promoting wellness,Offline,"Clean toilets, water, sanitation education – indirectly benefiting adolescent health",School or municipal records
Swarnim Gujarat Sports University (SGSU),State university promoting sports & wellness education for youth aged 18–20,Hybrid,"Coaching, physical education, sports science programmes, wellness scholarships","Admission proof, school pass certificate"
Gujarat Karmayogi Health Security,Expanded PM‑JAY benefit for state employees/pensioners with ₹10 L cover,Hybrid,"Cashless care, ₹1,000/month allowance","""G"" card, Aadhaar, dependency certificate"
Health & Wellness Centres (HWCs/Ayushman Bharat),Primary health hubs providing screening & wellness services for adults,Offline,"	NCDs screening, mental health, yoga, tele‑consult",Aadhaar or local proof
Swasthya Sathi Yojana,Emergency trauma and accident care with cashless coverage,Offline,"Emergency hospitalization up to ₹3 L, ambulance services",Emergency care card or Aadhaar
Gujarat Cancer Care Yojana,Subsidised cancer diagnostics & treatment for adults,Offline,"Cashless oncology care including chemo, surgery, post-care","Cancer diagnosis record, identity proof"
Gujarat Oral Health Yojana,Free or subsidised dental treatments for citizens,Offline,"Dental check-ups, fillings, root canal up to ₹20k/year per family",Camp registration / clinic id proof
Gujarat Neurological Care Yojana,"Covers neurological diseases like stroke, epilepsy with cashless treatment",Offline,"	Diagnostics (EEG/MRI), surgeries, rehab ₹3–6 L limit","Neurologist referral, neuro‑care ID"
Shramyogi Medical Check‑Up Scheme,"Annual full health check‑up for organized workers (women≥35, men≥45)	",Hybrid,"Diagnostic check‑up package (~₹2k), 75% funded via employer","Aadhaar, employee ID, labor welfare fund details"
Swasthya Setu Telemedicine,Remote tele‑consultations for rural residents,Hybrid,"Online doctor consultations, remote diagnosis, follow‑ups",Address or Aadhaar proof
Khel Mahakumbh (Youth & Adult Fitness),State sports events encouraging fitness among youth/adults,Offline,"	Sports competitions, coaching, wellness events","Age proof, registration ID"
Gujarat Eye Care Yojana,Subsidized eye treatments including cataract and glaucoma surgery,Offline,"Free or low-cost vision care, surgeries, screening camps","Camp/hospital registration, identity proof"
Gujarat Free Diagnostic Scheme,Free diagnostics in public/private hospitals for EWS families,Offline,"Lab tests, X-rays, Screening free under ₹110 Cr fund","EWS card, Aadhaar, medical prescription"
Gujarat Maternal Aid (Namo Shri)**,"Financial aid for women, indirectly benefiting reproductive-aged adults",Hybrid,"	Up to ₹12k for first two children, nutrition & delivery aid","Maternity records, Aadhaar"
Malaria / Dengue Control Program,Vector-borne disease prevention and treatment services,Offline,"Surveillance, free diagnostics & treatment, public awareness camps",No formal documents needed
TB Care & Treatment Scheme,Free diagnosis and treatment services under the State TB program,Offline,"Free medications, counseling, sputum tests","TB diagnosis card, Aadhaar"
Leprosy Control Programme,Free screening and drug treatment for leprosy under NHM,Offline,"Diagnosis, multi-drug therapy, community outreach",No extra documents beyond identity
"Oral, Breast & Cervical Cancer NCD Screening",Screening services for adults at HWCs,Offline,Free screening and referral services,	Aadhaar or health record
Shramyogi Full Medical Check-Up Assistance,"Annual comprehensive health check-up for organised sector workers (women ≥35, men ≥45)",Hybrid,"	₹1,950 diagnostic package (25% employer-funded)","Aadhaar, employer ID, labour welfare fund account details"
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Renewable term life insurance—₹2 L cover on death for a premium of ₹436/year,Online/Hybrid,Life cover benefit on death due to any cause,Bank account linkage + Aadhaar
Pradhan Mantri Suraksha Bima Yojana (PMSBY),Personal accident insurance—₹2 L on death/₹1 L on disability for a premium of ₹12/year,Online/Hybrid,Accidental death & disability cover,Bank account auto-debit consent + Aadhaar
"National Programme for Prevention & Control of Cancer, Diabetes, Cardiovascular Diseases & Stroke (NPCDCS)","Free screening, diagnosis, and treatment for NCDs like diabetes, BP, cancer etc.",Hybrid,"Annual screening at Health & Wellness Centres (HWCs), free medicines, lifestyle counselling","Aadhaar, health ID, screening form"
