TOURISM & CULTURE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Spiritual Tourism Development Scheme,Projects to improve pilgrim facilities at holy sites,Offline,"Rest houses, sanitation, wayfinding, digital aids","Temple Trust Docs, Aadhaar, Land Records"
Adventure Tourism Incentive Program,"Support for trekking, paragliding, water sports",Hybrid,"Training, infra support, safety gear grants","Project Proposal, Land Proof, Aadhaar"
Wellness & Ayurveda Tourism Promotion,"Support for wellness resorts, yoga & Ayurveda centres",Hybrid,"Capital subsidy, global marketing, training","Institute Registration, Aadhaar, Business Plan"
Gujarat Handicrafts Fair (Garvi Gurjari),State annual handicrafts fair support,Offline,"Stalls, subsidies, artisan promotion","Artisan Card, Aadhaar, Stall Application"
Cultural Exchange Programs (State-level),Support for cultural exchange with other states/countries,Offline,"Travel grants, recognition, exposure","Aadhaar, Cultural Proof, Nominations"
Tribal Artisan Market Support,Market linkages for tribal handicraft products,Offline,"Stalls, e-commerce tie-ups, training","Artisan Card, Aadhaar, Bank Account"
Folk Music & Dance Preservation Grants,Financial assistance for preserving dying folk arts,Offline/Hybrid,"Artist grants, digitization, global exposure","Artist Proof, Aadhaar, Cultural Association Docs"
Handloom Weavers Tourism Support,Linking weavers with tourist circuits for direct sales,Offline,"Income generation, marketing, training","Weaver Card, Aadhaar, Bank Account"
Cultural Tourism Digital Platform,"E-platform for bookings, heritage info, cultural events",Online,"Tourist access, marketing, e-payments","Business Registration, Aadhaar, PAN"
Village Tourism Promotion Program,Development of select villages as tourism hubs,Offline,"Infra support, homestays, artisan promotion","Gram Panchayat Consent, Aadhaar, Land Proof"
Cultural Awards & Recognition Scheme,"State awards for artists, historians, cultural figures",Offline/Hybrid,"Recognition, monetary awards, promotion","Nomination Form, Aadhaar, Proof of Work"
Tourism Infrastructure PPP Model Support,State facilitation of PPP projects in tourism,Hybrid,"Land, viability gap funding, approvals","PPP Proposal, Land Docs, Aadhaar"
Skill Development in Handicraft Clusters,Training artisans in modern designs & tourist marketing,Offline/Hybrid,"Skill certificate, toolkits, market linkages","Artisan Registration, Aadhaar, Training Enrollment"
Urban Tourism Circuit Development,"Projects linking urban attractions, markets, museums",Offline/Hybrid,"Infra, signage, visitor facilities","Municipal Approval, Land Docs, Aadhaar"
Rural Tourism Development Scheme,"Support for rural homestays, eco-tourism centres",Offline,"Job creation, cultural preservation, infra support","Gram Panchayat Consent, Aadhaar, Land Docs"
Heritage Interpretation Centre Grants,Funding for interpretation centres at heritage sites,Offline,"Visitor facilities, guides, exhibitions","ASI/State Approval, Land Docs, Aadhaar"
Performing Arts Festival Support Scheme,Grants for organizing state cultural festivals,Offline,"Event subsidies, artist payments, infrastructure","Event Approval, Cultural Proof, Aadhaar"
Language & Literature Promotion Program,Support for Gujarati & tribal languages promotion,Offline,"Publication grants, training, recognition","Manuscripts, Aadhaar, Author Proof"
Digital Tourism Marketing Support,Online marketing campaigns for Gujarat tourism,Online,"Global promotion, social media campaigns, SEO","Company Registration, Aadhaar, Proposal"
Gujarat Tourism Mobile App Development,"State-sponsored apps for booking, info, culture tours",Online,"Easy bookings, real-time updates, promotions","Company Registration, Aadhaar, Tech Proposal"
Light & Sound Show Development Support,Grants for light/sound shows at heritage sites,Offline/Hybrid,"Equipment, installation, promotion","Project Proposal, Heritage Authority NOC, Aadhaar"
Craft Tourism Village Scheme,Designation of villages as craft hubs for tourists,Offline/Hybrid,"Promotion, infra support, stalls","Gram Panchayat NOC, Aadhaar, Artisan Proof"
Women Artisan Empowerment in Tourism,"Support for women artisans in fairs, exhibitions",Offline,"Stalls, subsidies, training, recognition","Aadhaar, Artisan Proof, Bank Account"
Cuisine & Culinary Tourism Promotion,"Promotion of Gujarati cuisine via food festivals, tours",Offline/Hybrid,"Marketing, training, infra support","Event Approval, Aadhaar, Food Safety Certificate"
Digital Ticketing & QR Museum Entry,E-ticketing & QR-based entry for tourist sites,Online,"Convenience, faster access, transparency","Mobile Number, Aadhaar, Payment Proof"
Tourism Safety & Emergency Response Unit,State-supported tourist safety helpline & units,Hybrid,"24x7 helpline, quick response, insurance support","Aadhaar, Tourist Registration, Emergency Contacts"
