SOCIAL JUSTIC & WELFARE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
National Overseas Scholarship for SC Students,Offers financial assistance to Scheduled Caste students for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Overseas Scholarship for Persons with Disabilities (PWD),Provides financial assistance to persons with disabilities for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Disability Certificate, Admission Proof"
Top Class Education for Meritorious SC Students,Offers financial assistance to meritorious Scheduled Caste students for pursuing higher education in top institutions,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Family Benefit Scheme (NFBS) – SankatMochan,Provides one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
Rajiv Gandhi National Fellowship for OBCs,Provides financial assistance to OBC students for pursuing higher studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Pre-Matric Scholarship for SC Students,Offers financial assistance to SC students studying in classes IX and X,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Post-Matric Scholarship for SC Students,Provides financial assistance to SC students pursuing post-matriculation studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Pre-Matric Scholarship for Children of Those Engaged in Unclean Occupations,Offers financial assistance to children of individuals engaged in unclean occupations,Online,Scholarship,"Aadhaar Card, Caste Certificate, Parent's Occupation Proof"
National Overseas Scholarship for SC Students,Provides financial assistance to SC students for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Overseas Scholarship for Persons with Disabilities (PWD),Offers financial assistance to persons with disabilities for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Disability Certificate, Admission Proof"
Top Class Education for Meritorious SC Students,Provides financial assistance to meritorious SC students for pursuing higher education in top institutions,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Family Benefit Scheme (NFBS) – SankatMochan,Offers one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
Pre-Matric Scholarship for SC Students,Provides financial assistance to SC students studying in classes IX and X,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Post-Matric Scholarship for SC Students,Offers financial assistance to SC students pursuing post-matriculation studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Pre-Matric Scholarship for Children of Those Engaged in Unclean Occupations,Provides financial assistance to children of individuals engaged in unclean occupations,Online,Scholarship,"Aadhaar Card, Caste Certificate, Parent's Occupation Proof"
National Overseas Scholarship for SC Students,Offers financial assistance to SC students for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Overseas Scholarship for Persons with Disabilities (PWD),Provides financial assistance to persons with disabilities for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Disability Certificate, Admission Proof"
Top Class Education for Meritorious SC Students,Offers financial assistance to meritorious SC students for pursuing higher education in top institutions,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Family Benefit Scheme (NFBS) – SankatMochan,Provides one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
Saraswati Sadhana Yojana,Provides free bicycles to Scheduled Caste girls studying in Class 9 to encourage education,Offline,Free bicycle,"Aadhaar Card, Caste Certificate, School Admission Proof"
Kaidi Sahay Yojana,"Offers financial assistance of ₹25,000 to the family of a prisoner",Offline,"₹25,000 financial aid","Aadhaar Card, Prisoner’s Details, Family Income Certificate"
Maternity Assistance Scheme,Provides financial assistance to female industrial workers during maternity,Offline,Financial aid during maternity,"Aadhaar Card, Employment Proof, Medical Certificate"
Mukhyamantri Mahila Utkarsh Yojana,Offers interest-free loans up to ₹1 lakh to women's Self-Help Groups for business development,Online,Interest-free loan,"Aadhaar Card, SHG Registration, Business Plan"
Special Scholarship for Most Backward Castes,Provides scholarships to students from the Most Backward Castes enrolled in Standards I to X,Online,Scholarship,"Aadhaar Card, Caste Certificate, School Admission Proof"
Ganga Swarupa Yojana,Offers financial assistance to widows for their upliftment,Offline,Monthly pension,"Aadhaar Card, Widow Certificate, Income Certificate"
National Family Benefit Scheme,Provides one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
